last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Chavez, Jesse,2019,R,1306,13.3,86.4,2333,5.1,-30.3,8.8,1.3,0.3,83.5,2429,6.6,-41.4,7,1.5,
Matz, Steven,2019,L,2700,14.4,89.5,2069,3.1,-29.0,6.5,1.3,14.8,78.6,2447,-12.3,-53.0,14.9,1.8,
Kershaw, Clayton,2019,L,2575,39.0,86.9,2668,-4.8,-28.8,9.8,1.3,16.4,73.5,2463,-3.4,-68.0,16.6,1.1,
Fillmyer, Heath,2019,R,452,19.2,83.3,2371,2.1,-42.4,3.8,1.3,9.7,78.6,2478,3.9,-55.2,10.2,1.4,
Wang, Wei-Chung,2019,L,519,37.5,84.1,2343,-3.8,-33.7,7.5,2.2,2.5,76.8,2494,-4.5,-53.9,7.7,1.6,
Sampson, Adrian,2019,R,2056,33.1,83.9,2595,3.6,-41.1,4.5,1.7,0.0,79.3,2516,4.8,-47.5,5.2,1.4,
Mengden, Daniel,2019,R,1048,12.1,83.4,2342,5.8,-40.9,6.4,1.7,9.7,72.5,2526,10.1,-70.8,20.5,1.5,
Minor, Mike,2019,L,3356,19.3,86.4,2737,-5.6,-34.8,6.9,1.5,11.4,80.7,2534,-6.9,-54.5,12.6,2.1,
Heaney, Andrew,2019,L,1688,,,,,,,,26.9,79.4,2545,-7.0,-49.3,8.5,1.5,
deGrom, Jacob,2019,R,3191,32.0,92.5,2454,3.0,-24.6,7.6,1.2,2.9,84.3,2567,6.2,-40.9,7,1.8,
Wendelken, J.B.,2019,R,485,4.9,85.0,2511,4.4,-37.8,5.7,1.5,17.9,80.2,2578,12.5,-59.7,19.9,1.5,
Mikolas, Miles,2019,R,2804,23.5,87.0,2321,3.7,-34.0,5,1.6,21.3,78.3,2588,9.1,-61.4,17.7,1.4,
Peacock, Brad,2019,R,1507,28.5,81.3,2751,13.8,-35.5,16.2,1.5,6.9,78.6,2599,12.1,-58.0,17,1.7,
Cease, Dylan,2019,R,1364,20.9,84.7,2622,5.3,-43.9,7.2,1.7,18.5,79.5,2622,6.1,-63.3,19.3,1.8,
